"VA Community Based Outpatient Clinics (CBOCs), FY2013",,,,,,
VISN,Station Number,Official Station Name,Location/City,State,FY13 Unique Patients,FY13 Clinic Encounters
4,693GA,Sayre,Sayre,PA,"3,129","23,438"
4,693GB,Williamsport,Williamsport,PA,"4,177","16,116"
4,693GC,Tobyhanna,Tobyhanna,PA,629,"1,521"
4,693GF,Berwick (Columbia Co.),Berwick,PA,"1,493","4,229"
4,693GG,Northampton County,Bangor,PA,"1,360","5,156"
5,512GA,Cambridge,Cambridge,MD,"5,352","41,002"
5,512GC,Glen Burnie,Glen Burnie,MD,"6,886","38,626"
5,512GD,Loch Raven,Baltimore,MD,"13,240","62,163"
5,512GE,Pocomoke City,Pocomoke City,MD,"1,896","8,348"
5,512GF,Fort Howard,Fort Howard,MD,"3,204","20,635"
5,512GG,Fort Meade,Fort Meade,MD,"2,436","7,331"
5,613GA,Cumberland,Cumberland,MD,"3,855","22,834"
5,613GB,Hagerstown,Hagerstown,MD,"4,058","19,343"
5,613GC,Stephens City,Kernstown,VA,"4,070","22,287"
5,613GD,Franklin,Franklin,WV,226,"1,299"
5,613GE,Petersburg,Petersburg,WV,982,"5,792"
5,613GF,Harrisonburg,Harrisonburg,VA,"3,029","17,221"
5,613GG,Fort Detrick,Federick,MD,"3,477","17,585"
5,688GA,Alexandria (Fort Belvoir),Fort Belvoir,VA,"5,375","22,472"
5,688GB,Southeast Washington,Washington,DC,653,"2,858"
5,688GC,Landover/Greenbelt (Prince Georges County),Greenbelt,MD,"1,652","6,533"
5,688GD,Charlotte Hall,Charlotte Hall,MD,"2,921","14,558"
5,688GE,Southern Prince George's County (formerly Andrews AFB),Camp Springs,MD,"3,419","12,141"
6,517GB,Greenbrier County,Maxwelton,WV,"1,613","10,593"
6,558GA,Greenville,Greenville,NC,"9,172","45,820"
6,558GB,Raleigh,Raleigh,NC,"11,409","63,152"
6,558GC,Morehead City,Morehead City,NC,"4,244","23,983"
6,565GA,Jacksonville,Midway Park,NC,"5,991","29,760"
6,565GC,New Hanover County ( Wilmington),Wilmington,NC,"8,773","42,286"
6,565GD,Hamlet,Hamlet,NC,"1,960","11,648"
6,565GE,Robeson County (Lumberton),Pembroke,NC,"2,269","17,226"
6,565GF,Goldsboro,Goldsboro,NC,603,990
6,590GB,Norfolk-Virginia Beach,Virginia Beach,VA,"7,071","29,030"
6,590GC,Albemarle,Elizabeth City,NC,"2,009","12,071"
6,637GA,Franklin,Franklin,NC,"3,848","25,073"
6,637GB,Rutherford County (Rutherfordton),Rutherford,NC,"3,641","24,231"
6,652GA,Fredericksburg,Fredericksburg,VA,"5,394","32,009"
6,652GE,Charlottesville,Charlottesville,VA,"2,820","18,854"
